生锈的钢铁护肩,20,0.02,100,1
钢铁护肩,40,0.04,200,1
牛皮护肩,30,0.05,150,1
生锈的钢铁胸甲 25 0.02 100 2
钢铁胸甲,40,0.04,200,2
牛皮胸甲,30,0.05,150,2
生锈的钢铁护腿,20,0.02,100,3
钢铁护腿,40,0.04,200,3
牛皮护腿,30,0.05,150,3
精铁护肩,35,0.05,200,1  
鱼骨护肩,36,0.03,230,1 
羊毛护肩,40,0.04,210,1
精铁锁甲,40,0.04,200,2
羊毛背心,45,0.03,250,2
木莲胸甲,46,0.04,210,2
精铁护腿,38,0.03,200,3
鹿皮护腿,40,0.05,180,3
鱼骨护腿,45,0.03,170,3
狼骨护肩,45,0.05,300,1
虎骨护肩,47,0.06,340,1
黑色巨蝎的肩甲,60,0.08,400,1
铁铠甲,50,0.03,300,2
青铜锁甲,40,0.02,200,2
无尽防御胸甲,60,0.05,400,2
虎皮绑腿,40,0.03,330,3
狼骨绑腿,38,0.04,340,3
巨熊护腿,60,0.05,400,3
陶瓷护肩,50,0.03,400,1
绫罗披肩,48,0.02,350,1
中级斗者专用护肩,50,0.03,370,1
钛合金胸甲,47,0.03,380,2
蟒皮长袍,48,0.02,370,2
天蝉护魂长袍,70,0.05,550,2
墨钢护腿,54,0.03,410,3
紫榆绑腿,53,0.01,430,3
巨兽之魂绑腿,75,0.03,600,3
秘银护肩,55,0.05,450,1
貂皮护肩,60,0.02,460,1
灵斗者的蚕丝护肩,80,0.06,620,1
尘封的狼魂胸甲,75,0.07,650,2
蚕纱长袍,50,0.05,470,2
灵龟雕纹胸甲,55,0.06,490,2
乌金铠甲,60,0.04,500,2
千年玄铁兽胸甲,85,0.06,640,2
碳钢护腿,50,0.03,550,3           
石陶护腿,65,0.03,500,3         
烈火炼金护腿,60,0.02,530,3
魔战钢铁腿甲,100,0.04,700,3
嗜血腿甲,90,0.04,650,3

